country,shortnam,africa,latitude,euro1900,avexpr,logpgp95,logem4
Angola,AGO,1,0.1366666704416275,0,5.363636493682861,7.7706451416015625,5.63478946685791
Argentina,ARG,0,0.3777777850627899,90,6.386363506317139,9.133459091186523,4.2626800537109375
Australia,AUS,0,0.30000001192092896,99,9.318181991577148,9.897972106933594,2.1459312438964844
Burkina Faso,BFA,1,0.14444445073604584,0,4.454545497894287,6.845880031585693,5.63478946685791
Bangladesh,BGD,0,0.2666666805744171,0,5.136363506317139,6.877295970916748,4.26843786239624
Bahamas,BHS,0,0.2683333158493042,10,7.5,9.28544807434082,4.442651271820068
Bolivia,BOL,0,0.18888889253139496,30.000001907348633,5.636363506317139,7.926602363586426,4.2626800537109375
Brazil,BRA,0,0.1111111119389534,55,7.909090995788574,8.72745418548584,4.2626800537109375
Canada,CAN,0,0.6666666865348816,98,9.727272987365723,9.986449241638184,2.7788193225860596
Chile,CHL,0,0.3333333432674408,50,7.818181991577148,9.336091995239258,4.2626800537109375
Cote d'Ivoire,CIV,1,0.08888889104127884,0,7,7.444248676300049,6.18001651763916
Cameroon,CMR,1,0.06666667014360428,0,6.454545497894287,7.501081943511963,5.63478946685791
Congo,COG,1,0.011111111380159855,0,4.681818008422852,7.420578956604004,5.4806389808654785
Colombia,COL,0,0.04444444552063942,25,7.318181991577148,8.809863090515137,4.2626800537109375
Costa Rica,CRI,0,0.1111111119389534,20,7.045454502105713,8.794824600219727,4.357990264892578
Dominican Re,DOM,0,0.21111111342906952,25,6.181818008422852,8.364042282104492,4.867534637451172
Algeria,DZA,1,0.31111112236976624,0,6.5,8.389359474182129,4.359269618988037
Ecuador,ECU,0,0.02222222276031971,30.000001907348633,6.545454502105713,8.470101356506348,4.2626800537109375
Egypt,EGY,1,0.30000001192092896,0,6.7727274894714355,7.951559543609619,4.216562271118164
Ethiopia,ETH,1,0.08888889104127884,0,5.7272725105285645,6.10924768447876,3.25809645652771
Gabon,GAB,1,0.011111111380159855,0,7.818181991577148,8.9078826904296875,5.63478946685791
Ghana,GHA,1,0.08888889104127884,0,6.2727274894714355,7.365180015563965,6.504288196563721
Guinea,GIN,1,0.12222222238779068,0,6.545454502105713,7.489970684051514,6.18001651763916
