id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
46741,0,19,1,1,0,0,0,0,50,NA,NA,NA,NA,0,0
39339,0,58,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
65698,0,29,0,1,0,0,1,0,0,3,29,5,2,1,1
50891,1,59,1,1,0,0,1,0,100,97,86,62,1,1,1
34091,1,35,1,1,0,0,1,0,50,100,100,100,3,1,1
43455,1,51,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
32017,0,72,1,1,0,0,0,0,50,NA,NA,NA,NA,0,0
22968,1,63,1,1,0,0,1,0,50,50,50,50,0,1,1
12190,1,65,0,1,0,0,0,0,50,50,50,49,0,1,1
38268,0,51,1,0,0,1,0,0,47,30,50,50,1,1,1
28821,0,18,0,0,1,0,0,0,54,NA,NA,NA,NA,0,0
63418,0,26,1,1,0,0,1,0,74,50,50,50,0,1,1
52785,0,45,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
45431,0,18,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
11223,1,62,1,1,0,0,1,0,76,84,NA,72,3,1,1
21072,1,20,0,1,0,0,1,0,50,50,NA,NA,NA,1,0
67537,1,51,1,1,0,0,1,0,100,NA,NA,NA,NA,0,0
46261,1,41,1,0,0,1,0,0,100,NA,NA,NA,NA,0,0
44435,1,41,0,0,1,0,0,0,100,NA,NA,NA,NA,0,0
27928,1,39,0,1,0,0,1,0,100,NA,NA,NA,NA,0,0
4695,1,68,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
57948,1,72,0,1,0,0,1,0,0,NA,NA,NA,NA,0,0
6158,0,37,0,0,0,1,0,1,50,NA,NA,50,0,0,1
15836,0,17,1,1,0,0,1,0,66,NA,NA,NA,NA,0,0
14701,0,51,1,0,0,1,0,1,50,50,50,50,-3,1,1
8861,1,56,1,1,0,0,1,0,51,NA,NA,NA,NA,0,0
21987,0,26,0,1,0,0,1,0,25,NA,NA,NA,NA,0,0
28862,0,69,1,1,0,0,1,0,60,NA,NA,NA,NA,0,0
16877,0,68,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
8985,1,55,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
11679,1,34,1,1,0,0,1,0,87,NA,NA,NA,NA,0,0
41698,1,37,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
8113,1,40,1,1,0,0,1,0,54,NA,NA,NA,NA,0,0
7627,1,30,1,1,0,0,1,0,77,NA,NA,NA,NA,0,0
47598,0,70,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
59254,0,53,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
64288,0,44,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
28904,1,36,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
40271,1,61,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
43030,1,68,0,1,0,0,1,0,41,NA,NA,NA,NA,0,0
18272,0,31,1,1,0,0,0,0,50,NA,NA,NA,NA,0,0
50955,1,52,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
11683,0,46,1,1,0,0,0,0,0,NA,NA,NA,NA,0,0
41852,0,37,1,1,0,0,1,0,0,NA,NA,NA,NA,0,0
29949,0,66,1,1,0,0,0,1,0,NA,NA,NA,NA,0,0
39379,1,35,1,0,0,1,0,0,84,NA,NA,NA,NA,0,0
38424,1,76,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
20102,1,26,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
56242,1,21,1,1,0,0,1,0,0,NA,NA,NA,NA,0,0
7611,1,24,0,1,0,0,1,0,0,NA,NA,NA,NA,0,0
62047,1,69,1,1,0,0,1,0,11,NA,NA,NA,NA,0,0
13737,0,79,0,0,0,1,0,0,50,NA,NA,NA,NA,0,0
59186,1,58,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
6938,0,31,0,1,0,0,0,0,50,NA,NA,NA,NA,0,0
42175,1,27,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
47109,1,46,0,1,0,0,1,0,8,NA,NA,NA,NA,0,0
51864,0,51,1,0,1,0,1,0,92,NA,NA,NA,NA,0,0
17547,0,83,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
66453,1,53,1,0,0,1,0,1,100,50,100,50,3,1,1
9065,0,48,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0
45292,0,30,1,0,1,0,0,0,21,NA,NA,NA,NA,0,0
4379,1,19,1,0,0,1,0,0,100,NA,NA,NA,NA,0,0
20435,1,66,1,0,1,0,1,0,64,89,84,70,2,1,1
11952,0,54,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
12114,1,35,1,1,0,0,0,1,0,NA,NA,NA,NA,0,0
53765,0,64,1,1,0,0,1,0,36,30,36,40,1,1,1
26821,0,57,1,0,0,1,1,0,80,59,57,50,1,1,1
23338,0,31,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
60437,1,70,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
51923,0,39,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
23640,0,61,0,0,1,0,0,0,50,50,50,50,3,1,1
17832,0,46,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
9370,1,57,1,1,0,0,1,0,50,NA,50,NA,NA,0,0
57383,1,82,1,0,1,0,1,0,50,50,NA,NA,NA,1,0
29271,0,72,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
8508,0,75,0,1,0,0,1,0,50,NA,NA,NA,NA,0,0
36143,1,73,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
55498,1,48,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
14208,1,50,1,1,0,0,1,0,50,81,71,75,2,1,1
38956,0,58,1,1,0,0,1,0,50,50,50,50,3,1,1
66107,0,21,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
46338,1,23,1,0,0,1,0,0,100,100,100,50,3,1,1
46293,1,40,1,0,0,1,0,1,100,100,100,50,2,1,1
32559,1,68,1,0,0,1,0,1,100,100,99,98,3,1,1
32023,1,22,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
55214,1,63,1,1,0,0,0,0,10,NA,NA,NA,NA,0,0
1778,0,19,1,1,0,0,1,0,66,NA,NA,NA,NA,0,0
8061,0,45,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0
56471,1,28,1,1,0,0,0,0,14,19,27,17,0,1,1
28328,1,25,0,0,1,0,0,1,23,NA,NA,NA,NA,0,0
23490,1,26,1,0,1,0,0,1,81,NA,NA,NA,NA,0,0
14848,0,58,1,1,0,0,1,0,50,50,50,50,1,1,1
44547,0,22,0,1,0,0,0,0,50,50,50,50,3,1,1
64570,0,18,1,1,0,0,1,0,50,NA,NA,NA,NA,0,0
37966,0,31,0,0,1,0,0,0,50,50,50,50,0,1,1
47244,0,17,0,0,1,0,0,0,50,50,50,50,0,1,1
19868,0,40,0,0,1,0,1,0,60,50,50,50,0,1,1
15841,0,88,1,0,1,0,1,0,83,NA,NA,NA,NA,0,0
11676,0,53,1,0,1,0,0,1,67,NA,NA,NA,NA,0,0
5787,0,23,0,0,1,0,0,1,70,NA,NA,NA,NA,0,0
21401,1,58,1,0,0,1,1,0,100,NA,NA,NA,NA,0,0
20039,1,34,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
24523,0,25,1,1,0,0,1,0,50,50,50,50,1,1,1
5242,1,23,1,1,0,0,1,0,100,50,NA,100,2,1,1
28163,0,40,1,1,0,0,1,0,70,NA,NA,NA,NA,0,0
22641,0,41,1,1,0,0,1,0,50,65,NA,8,2,1,1
67160,0,29,0,1,0,0,0,0,39,NA,NA,NA,NA,0,0
9630,0,19,1,1,0,0,0,1,50,NA,NA,NA,NA,0,0
29770,0,31,1,0,1,0,0,1,0,NA,NA,NA,NA,0,0
34125,1,22,1,0,1,0,0,0,10,NA,NA,NA,NA,0,0
36830,1,57,1,0,1,0,0,0,40,NA,NA,NA,NA,0,0
33130,1,58,0,0,1,0,0,1,20,NA,NA,NA,NA,0,0
453,1,58,1,0,0,1,0,0,44,50,47,40,0,1,1
65613,1,57,0,0,0,1,0,0,50,50,50,50,-1,1,1
48190,1,31,1,1,0,0,1,0,52,78,96,97,1,1,1
31812,0,56,1,0,1,0,0,1,53,NA,NA,NA,NA,0,0
