"wage","lwage","educ","nearc4","nearc2","black","smsa","south","exper","expersq","married","age","fatheduc","motheduc","IQ","KWW"
548,6.30627489089966,7,0,0,1,1,0,16,256,1,29,NA,NA,NA,15
481,6.17586708068848,12,0,0,0,1,0,9,81,1,27,8,8,93,35
721,6.58063888549805,12,0,0,0,1,0,16,256,1,34,14,12,103,42
250,5.52146100997925,11,1,1,0,1,0,10,100,1,27,11,12,88,25
729,6.59167385101318,12,1,1,0,1,0,16,256,1,34,8,7,108,34
500,6.21460819244385,12,1,1,0,1,0,8,64,1,26,9,12,85,38
565,6.33682584762573,18,1,1,0,1,0,9,81,1,33,14,14,119,41
608,6.41017484664917,14,1,1,0,1,0,9,81,1,29,14,14,108,46
425,6.05208921432495,12,1,1,0,1,0,10,100,4,28,12,12,96,32
515,6.2441668510437,12,1,1,0,1,0,11,121,1,29,12,12,97,34
225,5.41610097885132,9,1,1,0,1,0,13,169,1,28,11,12,84,29
400,5.99146509170532,12,1,1,0,1,0,8,64,1,26,11,6,89,34
417,6.03308582305908,11,1,1,0,1,0,7,49,1,24,11,6,93,22
217,5.37989711761475,11,1,1,0,1,0,13,169,1,30,11,6,74,27
894,6.79570579528809,16,1,1,1,1,0,9,81,1,31,NA,8,116,43
300,5.70378303527832,14,1,1,0,1,0,4,16,6,24,15,12,NA,36
346,5.84643888473511,12,1,1,0,1,0,16,256,1,34,12,8,93,40
658,6.48920488357544,14,1,1,0,1,0,9,81,1,29,NA,12,100,35
575,6.3543701171875,10,1,1,0,1,0,10,100,6,26,8,8,91,24
649,6.47543287277222,12,1,1,0,1,0,14,196,1,32,8,8,88,35
944,6.85012578964233,18,1,1,0,1,1,8,64,1,32,12,13,NA,43
614,6.41999483108521,18,1,1,0,1,0,10,100,1,34,NA,8,114,50
726,6.58755016326904,15,1,1,0,0,0,11,121,1,32,5,14,111,37
604,6.40357398986816,12,1,0,0,1,0,10,100,1,28,14,12,NA,44
693,6.54102993011475,12,1,0,0,1,0,14,196,1,32,11,12,95,44
1400,7.24422693252563,18,1,0,0,0,0,10,100,1,34,14,13,132,44
300,5.70378303527832,12,1,0,0,1,0,8,64,6,26,7,12,NA,27
1800,7.49554204940796,18,1,0,0,1,0,8,64,5,32,16,16,109,38
413,6.02344799041748,12,1,0,0,1,0,7,49,1,25,11,12,108,43
632,6.44888877868652,14,1,0,0,0,0,9,81,1,29,NA,16,102,45
208,5.33753776550293,12,1,1,0,1,0,7,49,1,25,12,12,106,30
457,6.12468290328979,12,1,1,1,1,0,7,49,6,25,NA,11,104,40
824,6.71416997909546,16,1,1,0,1,0,2,4,1,24,10,10,119,24
577,6.35784196853638,18,1,1,0,1,0,10,100,1,34,NA,12,122,47
255,5.54126405715942,11,1,1,0,1,0,11,121,1,28,6,10,90,32
962,6.86901378631592,16,1,1,0,1,0,8,64,1,30,12,12,118,47
944,6.85012578964233,10,1,1,0,1,0,15,225,1,31,8,6,105,37
1146,7.04403305053711,18,1,1,0,1,0,10,100,1,34,8,11,115,43
324,5.78074407577515,6,1,1,0,1,0,15,225,1,27,2,6,NA,16
235,5.45958614349365,11,1,1,1,1,0,7,49,5,24,6,12,65,27
1000,6.90775489807129,12,1,1,0,1,0,16,256,1,34,11,10,120,45
481,6.17586708068848,9,1,1,0,1,0,11,121,4,26,NA,12,86,31
624,6.43615102767944,15,1,1,0,1,0,11,121,1,32,10,12,109,39
650,6.47697305679321,11,1,1,0,1,0,17,289,1,34,8,10,72,36
344,5.84064102172852,12,1,1,1,1,0,6,36,6,24,NA,10,NA,31
380,5.9401707649231,16,1,1,0,1,1,2,4,6,24,12,10,NA,NA
353,5.86646795272827,12,1,1,0,1,0,6,36,1,24,12,11,101,25
659,6.49072408676147,13,1,1,0,1,0,6,36,6,25,NA,12,105,29
621,6.43133115768433,17,1,1,0,1,0,5,25,1,28,10,10,136,48
440,6.0867748260498,12,1,1,0,1,0,7,49,1,25,10,11,101,40
738,6.60394382476807,12,1,1,1,1,0,8,64,6,26,12,10,96,34
280,5.63478899002075,11,1,1,1,0,1,14,196,1,31,5,5,NA,36
434,6.07304382324219,10,1,1,0,1,0,8,64,1,24,5,NA,NA,34
705,6.55819797515869,12,1,1,0,1,0,9,81,1,27,NA,8,101,34
425,6.05208921432495,12,1,1,0,1,0,9,81,1,27,10,12,91,32
571,6.34738922119141,12,1,1,0,1,0,6,36,1,24,NA,4,NA,35
538,6.28785800933838,16,1,1,0,1,0,8,64,6,30,12,12,115,52
740,6.60664987564087,16,1,1,0,1,0,10,100,1,32,12,12,113,49
673,6.5117449760437,13,1,1,0,1,0,13,169,1,32,10,12,123,43
769,6.64509105682373,12,1,1,0,1,0,16,256,1,34,10,10,95,36
592,6.38350677490234,12,1,1,0,1,0,6,36,1,24,10,10,102,26
213,5.36129188537598,9,1,1,1,1,0,9,81,6,24,12,11,NA,15
1563,7.35436201095581,16,1,1,0,1,0,12,144,1,34,12,12,145,50
774,6.65157222747803,16,1,1,0,1,0,6,36,1,28,11,11,114,35
600,6.39693021774292,12,1,1,0,1,1,8,64,1,26,8,9,113,35
693,6.54102993011475,18,1,1,0,1,0,0,0,6,24,16,16,NA,24
570,6.34563589096069,13,1,1,0,1,0,12,144,5,31,8,12,93,40
